prize,winner,date,gender,description
Paul Ehrlich and Ludwig Darmstaedter Prize,Barry Marshall,1997-01-01T00:00:00Z,male,award
Dickson Prize in Medicine,Eric Lander,1997-01-01T00:00:00Z,male,American science award
Dr A.H. Heineken Prize for Medicine,Ralph Steinman,2010-01-01T00:00:00Z,male,$null$
Lasker-DeBakey Clinical Medical Research Award,Étienne-Émile Baulieu,1989-01-01T00:00:00Z,male,$null$
German Immunology Prize,Harald von Boehmer,1990-01-01T00:00:00Z,male,$null$
Lasker-DeBakey Clinical Medical Research Award,Janet Rowley,1998-01-01T00:00:00Z,female,$null$
Dickson Prize in Medicine,Elizabeth Blackburn,2000-01-01T00:00:00Z,female,American science award
Dr A.H. Heineken Prize for Medicine,Barry Marshall,1998-01-01T00:00:00Z,male,$null$
Charles S. Mott Prize,Janet Rowley,1989-01-01T00:00:00Z,female,award
Clarke Medal,Thomas Henry Huxley,1880-01-01T00:00:00Z,male,award
Lasker-DeBakey Clinical Medical Research Award,Axel Ullrich,2019-01-01T00:00:00Z,male,$null$
Dan David Prize,Mary-Claire King,2018-01-01T00:00:00Z,female,award
Dan David Prize,Eric Lander,2012-01-01T00:00:00Z,male,award
Charles S. Mott Prize,Judah Folkman,1997-01-01T00:00:00Z,male,award
German Immunology Prize,Philippa Marrack,2006-01-01T00:00:00Z,female,$null$
Dan David Prize,Marcus Feldman,2011-01-01T00:00:00Z,male,award
Dr A.H. Heineken Prize for Medicine,Luc Montagnier,1994-01-01T00:00:00Z,male,$null$
Darwin Medal,Hugo de Vries,1906-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Dannie Heineman Prize,Har Gobind Khorana,1967-01-01T00:00:00Z,male,prize awarded by the Göttingen Academy of Sciences and Humanities
Paul Ehrlich and Ludwig Darmstaedter Prize,R. John Collier,1990-01-01T00:00:00Z,male,award
Charles S. Mott Prize,Anthony R. Hunter,1994-01-01T00:00:00Z,male,award
Kalinga Prize,Oswaldo Frota-Pessoa,1982-01-01T00:00:00Z,male,award
Japan Prize,Janet Rowley,2012-01-01T00:00:00Z,female,Japanese science award
German Immunology Prize,César Milstein,1979-01-01T00:00:00Z,male,$null$
German Cancer Award,Ivan Đikić,2010-01-01T00:00:00Z,male,$null$
Clarke Medal,Richard Owen,1878-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Elizabeth Blackburn,2009-01-01T00:00:00Z,female,award
German Cancer Award,Bernd Kaina,2011-01-01T00:00:00Z,male,$null$
Lasker-DeBakey Clinical Medical Research Award,Henri Laborit,1957-01-01T00:00:00Z,male,$null$
Dickson Prize in Medicine,Elaine Fuchs,2004-01-01T00:00:00Z,female,American science award
Dickson Prize in Medicine,Torsten Nils Wiesel,1980-01-01T00:00:00Z,male,American science award
Dr A.H. Heineken Prize for Medicine,Elizabeth Blackburn,2004-01-01T00:00:00Z,female,$null$
Dickson Prize in Medicine,Robert G. Roeder,2001-01-01T00:00:00Z,male,American science award
German Cancer Award,Peter Lichter,2002-01-01T00:00:00Z,male,$null$
Bower Award and Prize for Achievement in Science,Philippe Horvath,2018-01-01T00:00:00Z,male,award
Lasker-DeBakey Clinical Medical Research Award,Jonas Salk,1956-01-01T00:00:00Z,male,$null$
Dickson Prize in Medicine,Ronald M. Evans,1995-01-01T00:00:00Z,male,American science award
Dickson Prize in Science,Keith R. Porter,1972-01-01T00:00:00Z,male,$null$
Dan David Prize,Robert Wurtz,2004-01-01T00:00:00Z,male,award
Priestley Medal,Melvin Calvin,1978-01-01T00:00:00Z,male,award
Communicator Award of DFG,Hanns Hatt,2010-01-01T00:00:00Z,male,German science award for excellence in communication of research in broad public
Kalinga Prize,Fernand Seguin,1977-01-01T00:00:00Z,male,award
Clarke Medal,Klaus Rohde,1996-01-01T00:00:00Z,male,award
Lasker-DeBakey Clinical Medical Research Award,Karl Landsteiner,1946-01-01T00:00:00Z,male,$null$
Dickson Prize in Science,Joan A. Steitz,1989-01-01T00:00:00Z,female,$null$
Széchenyi Prize,Anna Erdei,2011-01-01T00:00:00Z,female,award in Hungary
Dickson Prize in Medicine,James E. Darnell,1999-01-01T00:00:00Z,male,American science award
Gairdner Foundation International Award,Linda B. Buck,2003-01-01T00:00:00Z,female,award
Lasker-DeBakey Clinical Medical Research Award,Napoleone Ferrara,2010-01-01T00:00:00Z,male,$null$
Albert Lasker Special Achievement Award,Mary-Claire King,2014-01-01T00:00:00Z,female,medical research award
Albert Lasker Special Achievement Award,Joan A. Steitz,2018-01-01T00:00:00Z,female,medical research award
Japan Prize,Ephraim Katzir,1985-01-01T00:00:00Z,male,Japanese science award
German Cancer Award,Werner Franke,1995-01-01T00:00:00Z,male,$null$
Albert Lasker Special Achievement Award,Tom Maniatis,2012-01-01T00:00:00Z,male,medical research award
Berlin Science Award,Nikolaus Rajewsky,2009-01-01T00:00:00Z,male,$null$
Kalinga Prize,Alexander Ivanovich Oparin,1976-01-01T00:00:00Z,male,award
Dan David Prize,Michael Waterman,2015-01-01T00:00:00Z,male,award
Erwin Schrödinger Prize,Peter Schuster,1983-01-01T00:00:00Z,male,science award
Dr A.H. Heineken Prize for Medicine,Mary-Claire King,2006-01-01T00:00:00Z,female,$null$
Clarke Medal,James Hector,1887-01-01T00:00:00Z,male,award
Dickson Prize in Medicine,Carol Greider,2007-01-01T00:00:00Z,female,American science award
King Faisal International Prize in Science,Edward O. Wilson,2000-01-01T00:00:00Z,male,$null$
Marcel Benoist Prize,Ewald Weibel,1974-01-01T00:00:00Z,male,Swiss scientific prize
Széchenyi Prize,András Falus,2006-01-01T00:00:00Z,male,award in Hungary
Ernst-Jung-Preis für Medizin,Peter Walter,2012-01-01T00:00:00Z,male,$null$
Premio México de Ciencia y Tecnología,Johanna Döbereiner,1992-01-01T00:00:00Z,female,$null$
Mueller Medal,Isobel Bennett,1982-01-01T00:00:00Z,female,award for important contributions to the natural sciences
EMBO Gold Medal,Melina Schuh,2018-01-01T00:00:00Z,female,$null$
German Society for Hygiene and Microbiology Prize,Jörg Vogel,2011-01-01T00:00:00Z,male,$null$
Patron’s Medal,Martin Holdgate,1992-01-01T00:00:00Z,male,award from the Royal Geographical Society
Széchenyi Prize,Péter Friedrich,1999-01-01T00:00:00Z,male,award in Hungary
Széchenyi Prize,Tamás Freund,2005-01-01T00:00:00Z,male,award in Hungary
Silver Leibniz medal,Lutz Heck,1940-01-01T00:00:00Z,male,$null$
Széchenyi Prize,Ferenc István Nagy,2008-01-01T00:00:00Z,male,award in Hungary
Kew International Medal,Edward O. Wilson,2014-01-01T00:00:00Z,male,Award given to individuals who have made a significant contribution to science and conservation
EliteForsk Prize,Eske Willerslev,2011-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Hartmut Wekerle,1982-01-01T00:00:00Z,male,$null$
Silver Leibniz medal,Bernhard Rensch,1937-01-01T00:00:00Z,male,$null$
Széchenyi Prize,Eva Kondorosi,2012-01-01T00:00:00Z,female,award in Hungary
Ernst-Jung-Preis für Medizin,Patrick Cramer,2009-01-01T00:00:00Z,male,$null$
Premio México de Ciencia y Tecnología,Mayana Zatz,2008-01-01T00:00:00Z,female,$null$
German Society for Hygiene and Microbiology Prize,Michael Wagner,2002-01-01T00:00:00Z,male,$null$
Sir Hans Krebs Medal,Thomas A. Steitz,2000-01-01T00:00:00Z,male,$null$
Széchenyi Prize,Ádám Kondorosi,1994-01-01T00:00:00Z,male,award in Hungary
Sir Hans Krebs Medal,Christiane Nüsslein-Volhard,1993-01-01T00:00:00Z,female,$null$
Duke of Edinburgh Conservation Award,Denzil Miller,2007-01-01T00:00:00Z,male,WWF award
Patron’s Medal,Thomas Henry Manning,1948-01-01T00:00:00Z,male,award from the Royal Geographical Society
Széchenyi Prize,László Patthy,2000-01-01T00:00:00Z,male,award in Hungary
Duke of Edinburgh Conservation Award,"Gathorne Gathorne-Hardy, 5th Earl of Cranbrook",2014-01-01T00:00:00Z,male,WWF award
Marcel Benoist Prize,Denis Duboule,2003-01-01T00:00:00Z,male,Swiss scientific prize
F. A. Cotton Medal,Chi-Huey Wong,2008-01-01T00:00:00Z,male,chemistry award
Huxley Memorial Medal,"John Lubbock, 1st Baron Avebury",1900-01-01T00:00:00Z,male,$null$
Patron’s Medal,Thomas Blakiston,1862-01-01T00:00:00Z,male,award from the Royal Geographical Society
German Society for Hygiene and Microbiology Prize,Bernhard Fleischer,1992-01-01T00:00:00Z,male,$null$
King Faisal International Prize in Science,James Rothman,1996-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Ivan Đikić,2013-01-01T00:00:00Z,male,$null$
Széchenyi Prize,László Gallé,2007-01-01T00:00:00Z,male,award in Hungary
Scientific Grand Prize of the NRJ Fondation,John Skehel,2007-01-01T00:00:00Z,male,neuroscience award
Prix International de l’INSERM,Denis Duboule,2010-01-01T00:00:00Z,male,French science award
Marcel Benoist Prize,Laurent Keller,2015-01-01T00:00:00Z,male,Swiss scientific prize
Széchenyi Prize,Eörs Szathmáry,2017-01-01T00:00:00Z,male,award in Hungary
Széchenyi Prize,Béla Nagy,2009-01-01T00:00:00Z,male,award in Hungary
EMBO Gold Medal,Amanda Fisher,2002-01-01T00:00:00Z,female,$null$
La Caze Prize of the Academy of Sciences,Jean Rossier,1990-01-01T00:00:00Z,male,$null$
Sir Hans Krebs Medal,Max Perutz,1968-01-01T00:00:00Z,male,$null$
Széchenyi Prize,József Frank,1993-01-01T00:00:00Z,male,award in Hungary
Ernst-Jung-Preis für Medizin,Jon van Rood,1989-01-01T00:00:00Z,male,$null$
Skeptical Award,Cyrille Barrette,2007-01-01T00:00:00Z,male,$null$
Széchenyi Prize,László Papp,2004-01-01T00:00:00Z,male,award in Hungary
DeLano Award for Computational Biosciences,Michael Levitt,2014-01-01T00:00:00Z,male,$null$
Dansk Magisterforenings Forskningspris,Carsten Rahbek,2019-01-01T00:00:00Z,male,$null$
Marcel Benoist Prize,Ulrich Karl Lämmli,1988-01-01T00:00:00Z,male,Swiss scientific prize
Prix International de l’INSERM,Mina Bissell,2007-01-01T00:00:00Z,female,French science award
Patron’s Medal,Eduard Rüppell,1839-01-01T00:00:00Z,male,award from the Royal Geographical Society
Sir Hans Krebs Medal,Venkatraman Ramakrishnan,2012-01-01T00:00:00Z,male,$null$
DeLano Award for Computational Biosciences,Vijay Pande,2015-01-01T00:00:00Z,male,$null$
"Francine and Antoine Bernheim Award for Arts, Literature and Science",Henri Atlan,2017-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Judah Folkman,1997-01-01T00:00:00Z,male,$null$
Scientific Grand Prize of the NRJ Fondation,Olivier Voinnet,2009-01-01T00:00:00Z,male,neuroscience award
Széchenyi Prize,Dénes Dudits,1995-01-01T00:00:00Z,male,award in Hungary
King Faisal International Prize in Science,Günter Blobel,1996-01-01T00:00:00Z,male,$null$
Darwin Medal,Charlotte Auerbach,1976-01-01T00:00:00Z,female,medal awarded by the Royal Society every alternate year
Mueller Medal,Frank Fenner,1964-01-01T00:00:00Z,male,award for important contributions to the natural sciences
Mueller Medal,Richard Shine,2005-01-01T00:00:00Z,male,award for important contributions to the natural sciences
Gairdner Foundation International Award,Andrew Fire,2005-01-01T00:00:00Z,male,award
Japan Prize,Frank Fenner,1988-01-01T00:00:00Z,male,Japanese science award
Japan Prize,Jozef Schell,1998-01-01T00:00:00Z,male,Japanese science award
King Faisal International Prize in Science,Michael Berridge,1986-01-01T00:00:00Z,male,$null$
German Immunology Prize,Hans-Georg Rammensee,1992-01-01T00:00:00Z,male,$null$
Kalinga Prize,Julian Huxley,1953-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,John Gurdon,1977-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Mario Capecchi,1993-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Jules Hoffmann,2011-01-01T00:00:00Z,male,award
Kalinga Prize,Jean Rostand,1959-01-01T00:00:00Z,male,award
Széchenyi Prize,Gábor Vida,1997-01-01T00:00:00Z,male,award in Hungary
National Medal of Science,Susan Lindquist,2009-01-01T00:00:00Z,female,science award
National Medal of Science,Janet Rowley,1998-01-01T00:00:00Z,female,science award
Gairdner Foundation International Award,Oliver Smithies,1993-01-01T00:00:00Z,male,award
Mueller Medal,Frederic Wood Jones,1926-01-01T00:00:00Z,male,award for important contributions to the natural sciences
Mueller Medal,James Peter Hill,1907-01-01T00:00:00Z,male,award for important contributions to the natural sciences
Ernst-Jung-Preis für Medizin,Tobias Bonhoeffer,2004-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Werner Franke,1984-01-01T00:00:00Z,male,$null$
Japan Prize,Masatoshi Takeichi,2005-01-01T00:00:00Z,male,Japanese science award
Japan Prize,Andrzej Tarkowski,2002-01-01T00:00:00Z,male,Japanese science award
EliteForsk Prize,Carsten Rahbek,2010-01-01T00:00:00Z,male,$null$
Paul Ehrlich and Ludwig Darmstaedter Prize,Craig Mello,2006-01-01T00:00:00Z,male,award
Darwin Medal,Brian Charlesworth,2000-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Sir Hans Krebs Medal,Tom Rapoport,2007-01-01T00:00:00Z,male,$null$
German Immunology Prize,Jacques Oudin,1973-01-01T00:00:00Z,male,$null$
Dr A.H. Heineken Prize for Medicine,Jon van Rood,1990-01-01T00:00:00Z,male,$null$
Darwin Medal,Carl Correns,1932-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Sir Hans Krebs Medal,Francis Crick,1977-01-01T00:00:00Z,male,$null$
National Medal of Science,Elaine Fuchs,2008-01-01T00:00:00Z,female,science award
Darwin Medal,Motoo Kimura,1992-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Prix International de l’INSERM,Tomas Lindahl,2008-01-01T00:00:00Z,male,French science award
Paul Ehrlich and Ludwig Darmstaedter Prize,Andrew Fire,2006-01-01T00:00:00Z,male,award
Sir Hans Krebs Medal,Tom Blundell,1987-01-01T00:00:00Z,male,$null$
Darwin Medal,Julian Huxley,1956-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
EMBO Gold Medal,Antonio Lanzavecchia,1988-01-01T00:00:00Z,male,$null$
Darwin Medal,Sewall Wright,1980-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Sir Hans Krebs Medal,Philip Cohen,2001-01-01T00:00:00Z,male,$null$
National Medal of Science,Jay Laurence Lush,1968-01-01T00:00:00Z,male,science award
National Medal of Science,Shu Chien,2010-01-01T00:00:00Z,male,science award
Dickson Prize in Science,Jared Diamond,2007-01-01T00:00:00Z,male,$null$
Darwin Medal,Ronald Fisher,1948-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
National Medal of Science,Edwin N. Lightfoot,2004-01-01T00:00:00Z,male,science award
Kalinga Prize,Konrad Lorenz,1969-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Jeffrey C. Hall,2012-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,Michael Berridge,1988-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,R. John Ellis,2004-01-01T00:00:00Z,male,award
Kalinga Prize,Peter Medawar,1985-01-01T00:00:00Z,male,award
Sir Hans Krebs Medal,César Milstein,1981-01-01T00:00:00Z,male,$null$
Enrico Fermi Award,Alexander Hollaender,1983-01-01T00:00:00Z,male,award
Neuronal Plasticity Prize,Miguel Nicolelis,2009-01-01T00:00:00Z,male,neuroscience award
Shanti Swarup Bhatnagar Prize for Science and Technology,Amit Prakash Sharma,2011-01-01T00:00:00Z,male,Indian research award
Dansk Magisterforenings Forskningspris,Eske Willerslev,2011-01-01T00:00:00Z,male,$null$
Gairdner Foundation International Award,Shinya Yamanaka,2009-01-01T00:00:00Z,male,award
Scientific Grand Prize of the NRJ Fondation,Jean-Louis Martin,2006-01-01T00:00:00Z,male,neuroscience award
Paul Ehrlich and Ludwig Darmstaedter Prize,Harald von Boehmer,1993-01-01T00:00:00Z,male,award
Neuronal Plasticity Prize,Torsten Nils Wiesel,1991-01-01T00:00:00Z,male,neuroscience award
Paul Ehrlich and Ludwig Darmstaedter Prize,Helmut Ruska,1970-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Peter Walter,2012-01-01T00:00:00Z,male,award
Bower Award and Prize for Achievement in Science,George M. Church,2011-01-01T00:00:00Z,male,award
Erwin Schrödinger Prize,Nick Barton,2013-01-01T00:00:00Z,male,science award
National Medal of Science,Francisco J. Ayala,2001-01-01T00:00:00Z,male,science award
Gairdner Foundation International Award,Har Gobind Khorana,1980-01-01T00:00:00Z,male,award
Neuronal Plasticity Prize,Masakazu Konishi,1999-01-01T00:00:00Z,male,neuroscience award
Gairdner Foundation International Award,Günter Blobel,1982-01-01T00:00:00Z,male,award
Kalinga Prize,David Attenborough,1981-01-01T00:00:00Z,male,award
Gairdner Foundation International Award,J. Michael Bishop,1984-01-01T00:00:00Z,male,award
National Medal of Science,Joseph L. Goldstein,1988-01-01T00:00:00Z,male,science award
National Medal of Science,Norman Davidson,1996-01-01T00:00:00Z,male,science award
Sir Hans Krebs Medal,David Chilton Phillips,1971-01-01T00:00:00Z,male,$null$
Sir Hans Krebs Medal,Richard Roberts,2013-01-01T00:00:00Z,male,$null$
EMBO Gold Medal,Paolo Sassone-Corsi,1994-01-01T00:00:00Z,male,$null$
EMBO Gold Medal,Barbara Pearse,1987-01-01T00:00:00Z,female,$null$
Louisa Gross Horwitz Prize,Jeffrey I. Gordon,2017-01-01T00:00:00Z,male,Annual prize awarded by Columbia University
Darwin Medal,Rosemary Grant,2002-01-01T00:00:00Z,female,medal awarded by the Royal Society every alternate year
Wollaston Medal,Thomas Henry Huxley,1876-01-01T00:00:00Z,male,award of the Geological Society of London
Patron’s Medal,Sylvia Earle,2011-01-01T00:00:00Z,female,award from the Royal Geographical Society
E. B. Wilson Medal,Susan Lindquist,2012-01-01T00:00:00Z,female,$null$
Széchenyi Prize,Ervin Balázs,2000-01-01T00:00:00Z,male,award in Hungary
Széchenyi Prize,József Hámori,1994-01-01T00:00:00Z,male,award in Hungary
Széchenyi Prize,Iván Bócsa,1997-01-01T00:00:00Z,male,award in Hungary
Neuronal Plasticity Prize,Richard G. Morris,2013-01-01T00:00:00Z,male,neuroscience award
Darwin Medal,Thomas Henry Huxley,1894-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Paul Ehrlich and Ludwig Darmstaedter Prize,Stanley Falkow,1981-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Shimon Sakaguchi,2020-01-01T00:00:00Z,male,award
Széchenyi Prize,Zoltan Nusser,2012-01-01T00:00:00Z,male,award in Hungary
Sir Hans Krebs Medal,Ephraim Katzir,1972-01-01T00:00:00Z,male,$null$
Darwin Medal,James Peter Hill,1940-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Erwin Schrödinger Prize,Michael Wagner,2015-01-01T00:00:00Z,male,science award
Premio México de Ciencia y Tecnología,Juan Carlos Castilla Zenobi,2012-01-01T00:00:00Z,male,$null$
Premio México de Ciencia y Tecnología,Antonio García-Bellido,2006-01-01T00:00:00Z,male,$null$
Benjamin Franklin Medal,Elizabeth Blackburn,2005-01-01T00:00:00Z,female,science and engineering award presented by the Franklin Institute
Paul Ehrlich and Ludwig Darmstaedter Prize,Mary-Claire King,2013-01-01T00:00:00Z,female,award
Benjamin Franklin Medal,Rudolf Jaenisch,2013-01-01T00:00:00Z,male,science and engineering award presented by the Franklin Institute
Wollaston Medal,Louis Agassiz,1836-01-01T00:00:00Z,male,award of the Geological Society of London
Darwin Medal,John L. Harper,1990-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Darwin Medal,D'Arcy Wentworth Thompson,1946-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Darwin Medal,David Lack,1972-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Japan Prize,Christopher Polge,1992-01-01T00:00:00Z,male,Japanese science award
Shanti Swarup Bhatnagar Prize for Science and Technology,Suvendra Nath Bhattacharyya,2016-01-01T00:00:00Z,male,Indian research award
E. B. Wilson Medal,Marc Kirschner,2003-01-01T00:00:00Z,male,$null$
Shanti Swarup Bhatnagar Prize for Science and Technology,Kalappa Muniyappa,1995-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Kuppamuthu Dharmalingam,1992-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Amar Nath Bhaduri,1979-01-01T00:00:00Z,male,Indian research award
E. B. Wilson Medal,Randy Schekman,2010-01-01T00:00:00Z,male,$null$
Shanti Swarup Bhatnagar Prize for Science and Technology,Guru Prakash Dutta,1976-01-01T00:00:00Z,male,Indian research award
Japan Prize,Seiji Ogawa,2003-01-01T00:00:00Z,male,Japanese science award
Shanti Swarup Bhatnagar Prize for Science and Technology,Alok Bhattacharya,1994-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Chinmoy Sankar Dey,2003-01-01T00:00:00Z,male,Indian research award
E. B. Wilson Medal,James Rothman,2010-01-01T00:00:00Z,male,$null$
Shanti Swarup Bhatnagar Prize for Science and Technology,Amitabh Joshi,2009-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Undurti Narasimha Das,1992-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Javed Agrewala,2005-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Narayanaswamy Srinivasan,2007-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Ramamirtha Jayaraman,1982-01-01T00:00:00Z,male,Indian research award
Japan Prize,Henry Beachell,1987-01-01T00:00:00Z,male,Japanese science award
Shanti Swarup Bhatnagar Prize for Science and Technology,Tapas Kumar Kundu,2005-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Rajesh Sudhir Gokhale,2006-01-01T00:00:00Z,male,Indian research award
Paul Ehrlich and Ludwig Darmstaedter Prize,Jacques Oudin,1961-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Fritiof S. Sjöstrand,1971-01-01T00:00:00Z,male,award
E. B. Wilson Medal,Günter Blobel,1986-01-01T00:00:00Z,male,$null$
Paul Ehrlich and Ludwig Darmstaedter Prize,Richard Lerner,2003-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Torbjörn Caspersson,1977-01-01T00:00:00Z,male,award
E. B. Wilson Medal,Peter Walter,2009-01-01T00:00:00Z,male,$null$
Japan Prize,Luc Montagnier,1988-01-01T00:00:00Z,male,Japanese science award
Paul Ehrlich and Ludwig Darmstaedter Prize,Hans-Georg Rammensee,1996-01-01T00:00:00Z,male,award
Darwin Medal,John Sulston,1996-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Wollaston Medal,Christian Gottfried Ehrenberg,1839-01-01T00:00:00Z,male,award of the Geological Society of London
Wollaston Medal,Heinrich Georg Bronn,1861-01-01T00:00:00Z,male,award of the Geological Society of London
Paul Ehrlich and Ludwig Darmstaedter Prize,Boris Ephrussi,1976-01-01T00:00:00Z,male,award
Paul Ehrlich and Ludwig Darmstaedter Prize,Russell Doolittle,1989-01-01T00:00:00Z,male,award
Scientific Grand Prize of the NRJ Fondation,Ronald Plasterk,2005-01-01T00:00:00Z,male,neuroscience award
Shanti Swarup Bhatnagar Prize for Science and Technology,Chetan Eknath Chitnis,2004-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Niyaz Ahmed,2016-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Gajendra Pal Singh Raghava,2008-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Maharaj Kishan Bhan,1990-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,K. VijayRaghavan,1998-01-01T00:00:00Z,male,Indian research award
Wollaston Medal,Richard Owen,1838-01-01T00:00:00Z,male,award of the Geological Society of London
Shanti Swarup Bhatnagar Prize for Science and Technology,Shantanu Chowdhury,2012-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Balasubramanian Gopal,2015-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Nuggehalli Raghuveer Moudgal,1976-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Raghavan Varadarajan,2002-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Suman Kumar Dhar,2012-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Ghanshyam Swarup,1996-01-01T00:00:00Z,male,Indian research award
Shanti Swarup Bhatnagar Prize for Science and Technology,Shyam Swarup Agarwal,1986-01-01T00:00:00Z,male,Indian research award
Patron’s Medal,Michael Douglas Gwynne,1972-01-01T00:00:00Z,male,award from the Royal Geographical Society
E. B. Wilson Medal,Elaine Fuchs,2015-01-01T00:00:00Z,female,$null$
E. B. Wilson Medal,James E. Darnell,1998-01-01T00:00:00Z,male,$null$
Royal medal,Walter Bodmer,2013-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,William Bate Hardy,1926-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,Joseph Hutchinson,1967-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
E. B. Wilson Medal,Betty Hay,1988-01-01T00:00:00Z,female,$null$
Royal medal,Ray Lankester,1885-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Royal medal,David Keilin,1939-01-01T00:00:00Z,male,"silver-gilt medal, of which three are awarded each year by the Royal Society"
Ernst-Jung-Preis für Medizin,Nenad Ban,2017-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Peter K. Vogt,1985-01-01T00:00:00Z,male,$null$
Ernst-Jung-Preis für Medizin,Hans-Georg Rammensee,2016-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Gary Borisy,2011-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,John Heuser,2014-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Seymour Jonathan Singer,1991-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,William R. Brinkley,2014-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Hans Ris,1993-01-01T00:00:00Z,male,$null$
Darwin Medal,Alfred Russel Wallace,1890-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
Darwin Medal,J.B.S. Haldane,1952-01-01T00:00:00Z,male,medal awarded by the Royal Society every alternate year
E. B. Wilson Medal,Martin Chalfie,2008-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Christian de Duve,1989-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,David Domingo Sabatini,1986-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Daniel Mazia,1981-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Joel Rosenbaum,2006-01-01T00:00:00Z,male,$null$
E. B. Wilson Medal,Marilyn Farquhar,1987-01-01T00:00:00Z,female,$null$
Shanti Swarup Bhatnagar Prize for Science and Technology,Mitali Mukerji,2010-01-01T00:00:00Z,female,Indian research award
E. B. Wilson Medal,Joan A. Steitz,2005-01-01T00:00:00Z,female,$null$
